Column Name,Hospital 18 Mean,Hospital 18 Standard Deviation,Column Name,Hospital 43 Mean,Hospital 43 Standard Deviation,Column Name,Hospital 55 Mean,Hospital 55 Standard Deviation
diagnostics_Image-original_Mean,0.32916542045629915,0.07975911181006068,diagnostics_Image-original_Mean,0.22010302157615597,0.12772989941072888,diagnostics_Image-original_Mean,0.2361980995737738,0.09286327781922568
diagnostics_Mask-original_VoxelNum,5273218.19047619,1478998.6904060992,diagnostics_Mask-original_VoxelNum,6879663.04489796,2012833.7334500672,diagnostics_Mask-original_VoxelNum,7516703.494444445,1755376.3199747445
original_firstorder_10Percentile,0.06807540954905324,0.07541490541842098,original_firstorder_10Percentile,0.03304347826086955,0.06493452555463494,original_firstorder_10Percentile,0.029042287702909984,0.05467255161600032
original_firstorder_90Percentile,0.633701993644279,0.07700256184809846,original_firstorder_90Percentile,0.4598935226264419,0.1666746172851071,original_firstorder_90Percentile,0.5124351489342217,0.14501722860815494
original_firstorder_Energy,822012.2909991698,300607.50341759034,original_firstorder_Energy,562930.7507947223,443230.5669912673,original_firstorder_Energy,738737.6819095069,434237.49684202374
original_firstorder_InterquartileRange,0.3259882005899705,0.09239512470993029,original_firstorder_InterquartileRange,0.25421472937000883,0.10269050205174725,original_firstorder_InterquartileRange,0.32411818577283236,0.13578939605267726
original_firstorder_Kurtosis,2.511154293536374,0.5195061262057137,original_firstorder_Kurtosis,4.144891475748489,5.85998953805911,original_firstorder_Kurtosis,2.813019281923754,3.1055992288878937
original_firstorder_MeanAbsoluteDeviation,0.17738560853493296,0.0335576740033454,original_firstorder_MeanAbsoluteDeviation,0.14032713704701483,0.043857962584000695,original_firstorder_MeanAbsoluteDeviation,0.1653728178971621,0.05518104559097301
original_firstorder_Mean,0.32916542045629915,0.07975911181006068,original_firstorder_Mean,0.22010302157615597,0.12772989941072888,original_firstorder_Mean,0.2361980995737738,0.09286327781922568
original_firstorder_Median,0.30842686069055186,0.10981232006538923,original_firstorder_Median,0.18196983141082518,0.16577977357451873,original_firstorder_Median,0.1978379925361174,0.1351638266220123
original_firstorder_RobustMeanAbsoluteDeviation,0.13851420951221075,0.03517569527703294,original_firstorder_RobustMeanAbsoluteDeviation,0.10875248120972239,0.041441754886419976,original_firstorder_RobustMeanAbsoluteDeviation,0.1372793609274766,0.05382128406139943
original_firstorder_RootMeanSquared,0.39643259623905835,0.06465248912915698,original_firstorder_RootMeanSquared,0.28241478676919607,0.12432925564383569,original_firstorder_RootMeanSquared,0.30831028210431494,0.09592589512614672
original_firstorder_Skewness,0.33618567344525685,0.4121514489414899,original_firstorder_Skewness,0.7230091596921314,0.7720321706759056,original_firstorder_Skewness,0.4988745176490377,0.4940740870857151
original_firstorder_TotalEnergy,822012.2909991698,300607.50341759034,original_firstorder_TotalEnergy,562930.7507947223,443230.5669912673,original_firstorder_TotalEnergy,738737.6819095069,434237.49684202374
original_firstorder_Variance,0.046644671830582796,0.01481006407226077,original_firstorder_Variance,0.030459106910512117,0.01757414991621271,original_firstorder_Variance,0.03984066463635488,0.024546010317991515
original_gldm_DependenceEntropy,0.01935916004455959,0.0026623085241530946,original_gldm_DependenceEntropy,0.017293382940994296,0.003194457978910496,original_gldm_DependenceEntropy,0.016323396563286893,0.002342930652755027
original_gldm_DependenceNonUniformity,5254657.183067589,1476662.9322404452,original_gldm_DependenceNonUniformity,6858774.7814471945,2009804.8492284897,original_gldm_DependenceNonUniformity,7494874.244207103,1752777.2188210182
original_gldm_DependenceNonUniformityNormalized,0.9963244280037474,0.000586462883614843,original_gldm_DependenceNonUniformityNormalized,0.9967691136155702,0.000701050808924874,original_gldm_DependenceNonUniformityNormalized,0.9969810294683104,0.0005071133530790962
original_gldm_DependenceVariance,0.016553181052263066,0.0026428872515262608,original_gldm_DependenceVariance,0.014549479103247992,0.003159150829774718,original_gldm_DependenceVariance,0.013594562365073207,0.0022851097766174006
original_gldm_GrayLevelNonUniformity,5273218.19047619,1478998.6904060992,original_gldm_GrayLevelNonUniformity,6879663.04489796,2012833.733450067,original_gldm_GrayLevelNonUniformity,7516703.494444445,1755376.3199747445
original_gldm_LargeDependenceEmphasis,80.91712684673858,0.013251154765387109,original_gldm_LargeDependenceEmphasis,80.92716858330552,0.01583919460599771,original_gldm_LargeDependenceEmphasis,80.93195593575375,0.011453207628175425
original_gldm_LargeDependenceHighGrayLevelEmphasis,80.91712684673858,0.013251154765387109,original_gldm_LargeDependenceHighGrayLevelEmphasis,80.92716858330552,0.01583919460599771,original_gldm_LargeDependenceHighGrayLevelEmphasis,80.93195593575375,0.011453207628175425
original_gldm_LargeDependenceLowGrayLevelEmphasis,80.91712684673858,0.013251154765387109,original_gldm_LargeDependenceLowGrayLevelEmphasis,80.92716858330552,0.01583919460599771,original_gldm_LargeDependenceLowGrayLevelEmphasis,80.93195593575375,0.011453207628175425
original_gldm_SmallDependenceEmphasis,0.012374122044331632,4.5509436775704876e-06,original_gldm_SmallDependenceEmphasis,0.012370673803800584,5.439554707245484e-06,original_gldm_SmallDependenceEmphasis,0.012369029785853636,3.933129054781286e-06
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.012374122044331632,4.5509436775704876e-06,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.012370673803800584,5.439554707245484e-06,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.012369029785853636,3.933129054781286e-06
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.012374122044331632,4.5509436775704876e-06,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.012370673803800584,5.439554707245484e-06,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.012369029785853636,3.933129054781286e-06
original_glrlm_GrayLevelNonUniformity,3487.4821428571427,442.4071373503952,original_glrlm_GrayLevelNonUniformity,3923.7020408163266,569.6332503943518,original_glrlm_GrayLevelNonUniformity,4100.058333333333,489.37378259585853
original_glrlm_LongRunEmphasis,3681835.850307159,918286.3239924453,original_glrlm_LongRunEmphasis,4668424.161154527,1241477.1930325245,original_glrlm_LongRunEmphasis,5058455.547425991,1099854.1756919492
original_glrlm_LongRunHighGrayLevelEmphasis,3681835.850307159,918286.3239924453,original_glrlm_LongRunHighGrayLevelEmphasis,4668424.161154527,1241477.1930325245,original_glrlm_LongRunHighGrayLevelEmphasis,5058455.547425991,1099854.1756919492
original_glrlm_LongRunLowGrayLevelEmphasis,3681835.850307159,918286.3239924453,original_glrlm_LongRunLowGrayLevelEmphasis,4668424.161154527,1241477.1930325245,original_glrlm_LongRunLowGrayLevelEmphasis,5058455.547425991,1099854.1756919492
original_glrlm_RunEntropy,4.732240851122065,0.5464431569504394,original_glrlm_RunEntropy,5.237539704664063,0.6704862954766554,original_glrlm_RunEntropy,5.471685111534699,0.5265284200330492
original_glrlm_RunLengthNonUniformity,1263.8058948990426,126.17456433238141,original_glrlm_RunLengthNonUniformity,1359.784844396904,132.42479955131532,original_glrlm_RunLengthNonUniformity,1395.4522560914145,132.60230678267897
original_glrlm_RunLengthNonUniformityNormalized,0.5232378622079924,0.020546994609883643,original_glrlm_RunLengthNonUniformityNormalized,0.5122760309549064,0.020017434246630352,original_glrlm_RunLengthNonUniformityNormalized,0.506345090636787,0.014743368136299421
original_glrlm_RunPercentage,0.0006906780494962381,0.00011044618373868287,original_glrlm_RunPercentage,0.0006069832367495033,0.0001320164132803559,original_glrlm_RunPercentage,0.0005670818597987923,9.545959849034967e-05
original_glrlm_RunVariance,191025.50738223077,72728.65108806486,original_glrlm_RunVariance,272629.1867792689,100129.74133108124,original_glrlm_RunVariance,305061.00885387417,85828.19274798858
original_glrlm_ShortRunEmphasis,0.00035961005368801747,4.6981206247323646e-05,original_glrlm_ShortRunEmphasis,0.00032226964329035916,5.481796557467765e-05,original_glrlm_ShortRunEmphasis,0.0003060607174521622,4.373603319174555e-05
original_glrlm_ShortRunHighGrayLevelEmphasis,0.00035961005368801747,4.6981206247323646e-05,original_glrlm_ShortRunHighGrayLevelEmphasis,0.00032226964329035916,5.481796557467765e-05,original_glrlm_ShortRunHighGrayLevelEmphasis,0.0003060607174521622,4.373603319174555e-05
original_glrlm_ShortRunLowGrayLevelEmphasis,0.00035961005368801747,4.6981206247323646e-05,original_glrlm_ShortRunLowGrayLevelEmphasis,0.00032226964329035916,5.481796557467765e-05,original_glrlm_ShortRunLowGrayLevelEmphasis,0.0003060607174521622,4.373603319174555e-05
original_glszm_LargeAreaEmphasis,29976906598479.062,17032490450598.89,original_glszm_LargeAreaEmphasis,51364726516630.766,25514630728138.312,original_glszm_LargeAreaEmphasis,59565058859095.13,23414588311834.156
original_glszm_LargeAreaHighGrayLevelEmphasis,29976906598479.062,17032490450598.89,original_glszm_LargeAreaHighGrayLevelEmphasis,51364726516630.766,25514630728138.312,original_glszm_LargeAreaHighGrayLevelEmphasis,59565058859095.13,23414588311834.156
original_glszm_LargeAreaLowGrayLevelEmphasis,29976906598479.062,17032490450598.89,original_glszm_LargeAreaLowGrayLevelEmphasis,51364726516630.766,25514630728138.312,original_glszm_LargeAreaLowGrayLevelEmphasis,59565058859095.13,23414588311834.156
