Column Name,Hospital 18 Mean,Hospital 18 Standard Deviation,Column Name,Hospital 22 Mean,Hospital 22 Standard Deviation,Column Name,Hospital 43 Mean,Hospital 43 Standard Deviation,Column Name,Hospital 45 Mean,Hospital 45 Standard Deviation,Column Name,Hospital 55 Mean,Hospital 55 Standard Deviation
original_firstorder_Energy,43503188483.88095,15906396538.898872,original_firstorder_Energy,57387004644.37113,40948915749.89723,original_firstorder_Energy,29779036717.040817,23446896993.838055,original_firstorder_Energy,40518866634.19835,22945648872.122047,original_firstorder_Energy,39166019636.16111,23058154683.68322
original_firstorder_TotalEnergy,43503188483.88095,15906396538.898872,original_firstorder_TotalEnergy,57387004644.37113,40948915749.89723,original_firstorder_TotalEnergy,29779036717.040817,23446896993.838055,original_firstorder_TotalEnergy,40518866634.19835,22945648872.122047,original_firstorder_TotalEnergy,39166019636.16111,23058154683.68322
original_glszm_LargeAreaHighGrayLevelEmphasis,587781510.2479987,528782697.73859656,original_glszm_LargeAreaHighGrayLevelEmphasis,2092012395.0572212,1562943776.8583577,original_glszm_LargeAreaHighGrayLevelEmphasis,897480252.611857,859963086.0053707,original_glszm_LargeAreaHighGrayLevelEmphasis,3686315303.7285676,3858321040.846121,original_glszm_LargeAreaHighGrayLevelEmphasis,3409745020.0659986,4028184015.2791014
original_glszm_LargeAreaEmphasis,62642965.193077415,75083633.5319576,original_glszm_LargeAreaEmphasis,261899365.70800892,297432659.745725,original_glszm_LargeAreaEmphasis,418323152.5602297,845467717.7245848,original_glszm_LargeAreaEmphasis,910169785.8082982,2485891746.1493673,original_glszm_LargeAreaEmphasis,578129735.0293863,596936940.3732889
original_glszm_ZoneVariance,62632346.24621724,75069205.4167044,original_glszm_ZoneVariance,261850733.11036938,297386960.37326366,original_glszm_ZoneVariance,418280508.42101467,845335036.5124619,original_glszm_ZoneVariance,909394637.1192633,2483121720.429456,original_glszm_ZoneVariance,577849766.0010031,596392758.5624197
original_glszm_LargeAreaLowGrayLevelEmphasis,31424047.791051768,50768332.11768742,original_glszm_LargeAreaLowGrayLevelEmphasis,164053270.476468,293975263.9768144,original_glszm_LargeAreaLowGrayLevelEmphasis,378494363.2552295,837814593.9581085,original_glszm_LargeAreaLowGrayLevelEmphasis,732258911.9323809,2395841045.9291644,original_glszm_LargeAreaLowGrayLevelEmphasis,404112780.78570557,457313969.5957598
original_gldm_DependenceNonUniformity,2808920.9022309016,1340773.1663207512,original_gldm_DependenceNonUniformity,5324255.859923868,1941009.7059227172,original_gldm_DependenceNonUniformity,4567348.785700993,1979410.8853245203,original_gldm_DependenceNonUniformity,5913459.759585194,1890384.0998055285,original_gldm_DependenceNonUniformity,6028958.824913354,1714639.7658728762
original_gldm_GrayLevelNonUniformity,1037036.5848223983,494288.4449317743,original_gldm_GrayLevelNonUniformity,1842653.5849517975,953824.0496954648,original_gldm_GrayLevelNonUniformity,2352986.9515483235,1471888.9401715265,original_gldm_GrayLevelNonUniformity,2189189.532638068,1127519.3805478509,original_gldm_GrayLevelNonUniformity,2098488.296257196,962582.7717634893
original_glrlm_RunLengthNonUniformity,117501.57153715791,51871.21128670213,original_glrlm_RunLengthNonUniformity,70556.43626555432,43065.986008290056,original_glrlm_RunLengthNonUniformity,93651.80572685855,79135.66883288177,original_glrlm_RunLengthNonUniformity,40950.04944098328,37232.98134867393,original_glrlm_RunLengthNonUniformity,46639.69298903394,35525.33068104827
original_glrlm_GrayLevelNonUniformity,95213.81640405481,39789.02228329461,original_glrlm_GrayLevelNonUniformity,81873.02603137684,44999.62163655841,original_glrlm_GrayLevelNonUniformity,100371.32357953521,51738.020992152575,original_glrlm_GrayLevelNonUniformity,57462.00373296721,36457.10422334596,original_glrlm_GrayLevelNonUniformity,60391.158932280356,35590.97862823489
original_glszm_SizeZoneNonUniformity,20465.742571323015,8949.173276728352,original_glszm_SizeZoneNonUniformity,14058.695286470052,8638.508662353956,original_glszm_SizeZoneNonUniformity,17567.408307756483,10440.729174731081,original_glszm_SizeZoneNonUniformity,7826.17598146806,6877.851343205046,original_glszm_SizeZoneNonUniformity,8773.648027851978,7178.157226819228
original_glrlm_LongRunHighGrayLevelEmphasis,14291.178833064683,26836.417951175656,original_glrlm_LongRunHighGrayLevelEmphasis,49348.44197009619,40843.44788954055,original_glrlm_LongRunHighGrayLevelEmphasis,21892.92652118434,22956.779991336854,original_glrlm_LongRunHighGrayLevelEmphasis,80577.93962190775,75989.3938457065,original_glrlm_LongRunHighGrayLevelEmphasis,109033.92591323773,120840.44989493056
original_glszm_GrayLevelNonUniformity,11003.663204844954,5187.781843632422,original_glszm_GrayLevelNonUniformity,9180.834540169099,5797.1994220936685,original_glszm_GrayLevelNonUniformity,11558.592471828038,6221.72140672473,original_glszm_GrayLevelNonUniformity,5569.958536823903,4220.973861481051,original_glszm_GrayLevelNonUniformity,6795.504377046728,4946.825210778588
original_glrlm_LongRunEmphasis,2851.1521382308592,4134.534661634893,original_glrlm_LongRunEmphasis,10226.028416825595,10891.251963972072,original_glrlm_LongRunEmphasis,12431.666221293,19177.953920032916,original_glrlm_LongRunEmphasis,24085.244801495144,34027.02861940448,original_glrlm_LongRunEmphasis,23187.088148950344,20026.795816240912
original_glrlm_RunVariance,2711.975475173542,3930.83879731377,original_glrlm_RunVariance,9683.121039686252,10349.798675430508,original_glrlm_RunVariance,11884.634389932753,17803.504296302875,original_glrlm_RunVariance,21889.418521956835,28694.657282924472,original_glrlm_RunVariance,21597.12300805961,18102.390706548413
original_ngtdm_Busyness,2632.4362199538964,907.3035814800935,original_ngtdm_Busyness,2055.8798947995447,819.7473166450745,original_ngtdm_Busyness,3149.2383749824994,1499.6644645247495,original_ngtdm_Busyness,1599.5761605172731,1339.7104619903794,original_ngtdm_Busyness,1744.909697757033,1276.1343891369238
original_firstorder_Variance,2466.067324549665,783.5259477784701,original_firstorder_Variance,2136.9521721278325,1162.1202800365868,original_firstorder_Variance,1611.2867555660937,929.6725305676522,original_firstorder_Variance,1970.1153110808734,1057.489236678741,original_firstorder_Variance,2106.221103012457,1299.209526666182
original_glrlm_LongRunLowGrayLevelEmphasis,1882.5694730236614,2363.4191641435623,original_glrlm_LongRunLowGrayLevelEmphasis,7395.260960827319,10403.817980221023,original_glrlm_LongRunLowGrayLevelEmphasis,11500.599746106567,18506.840697192987,original_glrlm_LongRunLowGrayLevelEmphasis,20298.712419238607,31705.674012173968,original_glrlm_LongRunLowGrayLevelEmphasis,17221.010935086735,15154.821984564533
original_gldm_LargeDependenceHighGrayLevelEmphasis,1071.5402542429563,329.52164465474874,original_gldm_LargeDependenceHighGrayLevelEmphasis,1110.7143675961606,613.7422272334393,original_gldm_LargeDependenceHighGrayLevelEmphasis,694.0483947300821,499.11551067200963,original_gldm_LargeDependenceHighGrayLevelEmphasis,864.8296961992794,392.48416012180405,original_gldm_LargeDependenceHighGrayLevelEmphasis,846.9598915743278,457.27364448080823
original_glcm_ClusterProminence,575.3265402676438,317.32701304970885,original_glcm_ClusterProminence,477.8606678636897,406.6943574875775,original_glcm_ClusterProminence,293.03027931752194,267.7153383330031,original_glcm_ClusterProminence,383.73725308021227,348.92658687571054,original_glcm_ClusterProminence,384.8431054303746,389.0089758253893
original_firstorder_Maximum,230.0,0.0,original_firstorder_Maximum,230.0,0.0,original_firstorder_Maximum,230.0,0.0,original_firstorder_Maximum,230.0,0.0,original_firstorder_Maximum,230.0,0.0
original_firstorder_Range,229.92857142857142,0.5682051943243239,original_firstorder_Range,230.0,0.0,original_firstorder_Range,230.0,0.0,original_firstorder_Range,229.89256198347107,1.1818181818181832,original_firstorder_Range,229.89444444444445,1.4161763857498684
original_firstorder_90Percentile,145.76984126984127,17.73591280917346,original_firstorder_90Percentile,131.41237113402062,37.45629469164685,original_firstorder_90Percentile,105.77551020408163,38.335161975574614,original_firstorder_90Percentile,117.80165289256199,30.146481230460584,original_firstorder_90Percentile,117.91111111111111,33.36245655131563
original_firstorder_RootMeanSquared,91.20516310393685,14.936754103443835,original_firstorder_RootMeanSquared,83.95279664513323,28.16887197345166,original_firstorder_RootMeanSquared,64.95540095691511,28.595728798082206,original_firstorder_RootMeanSquared,72.5778044670457,21.064742958417128,original_firstorder_RootMeanSquared,70.96973409303905,22.095381624364094
original_firstorder_Mean,75.742181504825,18.42461688741984,original_firstorder_Mean,69.59895867830045,29.347729049257858,original_firstorder_Mean,50.623694962515884,29.377876864467627,original_firstorder_Mean,56.61807839174458,23.15824076258767,original_firstorder_Mean,54.40022336463198,21.427603136062476
original_firstorder_InterquartileRange,74.95238095238095,21.237648511210327,original_firstorder_InterquartileRange,68.76288659793815,28.84324487491116,original_firstorder_InterquartileRange,58.46938775510204,23.618815471901872,original_firstorder_InterquartileRange,66.96694214876032,25.439121409192293,original_firstorder_InterquartileRange,74.51666666666667,31.24215655758601
original_firstorder_Median,70.96825396825396,25.32885674733433,original_firstorder_Median,65.48453608247422,38.00304631486299,original_firstorder_Median,41.85306122448979,38.129347922139296,original_firstorder_Median,46.09090909090909,34.10180835869755,original_firstorder_Median,45.577777777777776,31.154858397014912
original_gldm_LargeDependenceEmphasis,68.5739020900697,4.445809343026809,original_gldm_LargeDependenceEmphasis,74.45524756699747,3.031084734382556,original_gldm_LargeDependenceEmphasis,72.5051637115717,4.449558990680982,original_gldm_LargeDependenceEmphasis,76.24693449062664,3.203713845053993,original_gldm_LargeDependenceEmphasis,76.56363704980237,2.4785969244129262
original_firstorder_MeanAbsoluteDeviation,40.78581394856705,7.715752700730789,original_firstorder_MeanAbsoluteDeviation,37.29701027351218,11.371516683080909,original_firstorder_MeanAbsoluteDeviation,32.27524152081342,10.087331394320152,original_firstorder_MeanAbsoluteDeviation,36.39138443601128,10.888603421448574,original_firstorder_MeanAbsoluteDeviation,38.02033021092987,12.698749209155643
original_firstorder_RobustMeanAbsoluteDeviation,31.8480204644415,8.08675647579977,original_firstorder_RobustMeanAbsoluteDeviation,29.708785495018073,11.287391182143601,original_firstorder_RobustMeanAbsoluteDeviation,25.013070678236158,9.531603623876606,original_firstorder_RobustMeanAbsoluteDeviation,28.831560344533607,10.448784275442335,original_firstorder_RobustMeanAbsoluteDeviation,31.561944362616746,12.384749224476478
original_glcm_ClusterShade,26.94113605583246,31.4460935945368,original_glcm_ClusterShade,15.66799834842732,35.183556041828254,original_glcm_ClusterShade,15.275687994701135,16.250815861267863,original_glcm_ClusterShade,24.000783053403833,28.495024240703977,original_glcm_ClusterShade,21.745953034247115,23.75562524238993
original_glszm_HighGrayLevelZoneEmphasis,26.84924014000339,5.453931192689099,original_glszm_HighGrayLevelZoneEmphasis,26.51775337103232,10.739044809074992,original_glszm_HighGrayLevelZoneEmphasis,18.124028925233546,9.001177060518692,original_glszm_HighGrayLevelZoneEmphasis,23.38977936511899,8.904079069422284,original_glszm_HighGrayLevelZoneEmphasis,22.866204908413323,10.536678902295538
original_glrlm_HighGrayLevelRunEmphasis,26.198388345964975,5.019393443911313,original_glrlm_HighGrayLevelRunEmphasis,24.44963068581687,9.647455395912571,original_glrlm_HighGrayLevelRunEmphasis,17.363305552079435,8.694592969549445,original_glrlm_HighGrayLevelRunEmphasis,21.302920329732647,7.674071396121638,original_glrlm_HighGrayLevelRunEmphasis,21.3354456675435,9.621005051402308
original_gldm_LargeDependenceLowGrayLevelEmphasis,21.57139942518105,11.306419185423328,original_gldm_LargeDependenceLowGrayLevelEmphasis,26.100195725587803,15.649469189444657,original_gldm_LargeDependenceLowGrayLevelEmphasis,37.031819548935495,18.377679372694978,original_gldm_LargeDependenceLowGrayLevelEmphasis,33.21063335284788,16.6087178606128,original_gldm_LargeDependenceLowGrayLevelEmphasis,34.32560406109568,13.685017229924084
original_gldm_HighGrayLevelEmphasis,17.25312756994439,5.4383975918338,original_gldm_HighGrayLevelEmphasis,15.90462324073979,8.884405414568556,original_gldm_HighGrayLevelEmphasis,10.69952302800341,7.816019577887802,original_gldm_HighGrayLevelEmphasis,12.018950311926279,5.7095783566399865,original_gldm_HighGrayLevelEmphasis,11.640799008265168,6.33939103563382
original_glcm_Autocorrelation,17.187458375682542,5.426649925548517,original_glcm_Autocorrelation,15.872388309262437,8.876819099354643,original_glcm_Autocorrelation,10.653216215786047,7.795404640248667,original_glcm_Autocorrelation,11.99286122624611,5.699838678677541,original_glcm_Autocorrelation,11.619125842883285,6.336306847887852
original_firstorder_10Percentile,15.714285714285714,17.442870012865264,original_firstorder_10Percentile,15.391752577319588,19.955970650529917,original_firstorder_10Percentile,7.6,14.934940877566058,original_firstorder_10Percentile,9.793388429752065,16.222370025868564,original_firstorder_10Percentile,6.777777777777778,12.718506094222578
original_glszm_SmallAreaHighGrayLevelEmphasis,15.331909500666226,3.6586225879572245,original_glszm_SmallAreaHighGrayLevelEmphasis,15.35900959065026,6.63444584391675,original_glszm_SmallAreaHighGrayLevelEmphasis,10.4538658888828,5.384113089750172,original_glszm_SmallAreaHighGrayLevelEmphasis,11.628893487646527,4.487258216951041,original_glszm_SmallAreaHighGrayLevelEmphasis,11.543036490656236,4.716466006119935
original_glcm_ClusterTendency,14.765402319732406,4.423508759705481,original_glcm_ClusterTendency,12.607008261631764,7.103744863064647,original_glcm_ClusterTendency,9.160855685264085,5.770048026349552,original_glcm_ClusterTendency,11.115864025430362,5.919536096204689,original_glcm_ClusterTendency,11.756323890128783,7.205530571809458
original_glrlm_ShortRunHighGrayLevelEmphasis,12.150244817670137,2.828377430986605,original_glrlm_ShortRunHighGrayLevelEmphasis,10.4470815551604,4.5647216157633554,original_glrlm_ShortRunHighGrayLevelEmphasis,7.87324416499524,4.2561082071088805,original_glrlm_ShortRunHighGrayLevelEmphasis,7.663244979225761,3.4242281391071265,original_glrlm_ShortRunHighGrayLevelEmphasis,8.2729558776074,3.614015279984645
original_glcm_SumAverage,7.227799714747061,1.3771397646684664,original_glcm_SumAverage,6.787125187337051,2.2223155925824587,original_glcm_SumAverage,5.367868493070159,2.1800753633085423,original_glcm_SumAverage,5.837143687140125,1.6910283072143155,original_glcm_SumAverage,5.670853338152818,1.6203438376978196
original_glrlm_RunEntropy,6.250870367849371,0.3073616678274963,original_glrlm_RunEntropy,6.583899154030915,0.4496624072065635,original_glrlm_RunEntropy,6.173323764275556,0.313717952383592,original_glrlm_RunEntropy,7.119606721921282,0.7355317775306358,original_glrlm_RunEntropy,6.66347689487715,0.5890960548469664
original_glszm_ZoneEntropy,5.398100096310068,0.37836955234146524,original_glszm_ZoneEntropy,5.2888926726300625,0.38126741872042613,original_glszm_ZoneEntropy,5.1926049705509785,0.33046872693720475,original_glszm_ZoneEntropy,5.628681638627088,0.6924031403682409,original_glszm_ZoneEntropy,5.363076635665775,0.5726108181770475
original_ngtdm_Complexity,4.509670994750856,1.7482441762431007,original_ngtdm_Complexity,2.383867751902636,1.0460691424518809,original_ngtdm_Complexity,3.4518127102540097,1.6322742014264557,original_ngtdm_Complexity,1.7922335353788448,1.1299254332557531,original_ngtdm_Complexity,1.623987682790037,1.0056661396290953
original_gldm_DependenceEntropy,4.189033774649827,0.5513241099164882,original_gldm_DependenceEntropy,3.3489532647950786,0.7027473606648612,original_gldm_DependenceEntropy,3.2421853972512027,0.9903340525258689,original_gldm_DependenceEntropy,2.989842379266806,0.7030270822466264,original_gldm_DependenceEntropy,2.9349048645146834,0.5925924532889787
